Date,Signal,FX_name,Foreign_IR,Domestic_IR,FX_Rate,Equity,Asset Pos,Unreal_Return,Real_Return
2018-08-30,0.0037319452217060844,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-08-31,0.0037271420169923777,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-03,0.0037322631436113424,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-04,0.003744626353063101,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-05,0.0037391545870847126,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-06,0.0037392546602844365,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-07,0.003744900787708321,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-10,0.0037566684673854783,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-11,0.0037601355244322654,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-12,0.003752390602592652,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-13,0.0037789853157580793,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-14,0.003775366269021368,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-17,0.0037814799536740147,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-18,0.0037921080448355387,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-19,0.0038082363518907193,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-20,0.003836934062059972,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-21,0.0038421490301403403,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-24,0.0038468342607045204,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-25,0.003870313598663428,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-26,0.003894174883592412,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-27,0.0038900774903781335,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-09-28,0.00391389997611234,USD,0.021790599999999997,-0.0005732999999999999,111.86,675006.6759492815,1350013.351898563,0.04415449999999999,66.50066759492816
2018-10-02,0.003930796753104295,USD,0.021790599999999997,-0.0005732999999999999,111.86,704811.2582224841,1350013.351898563,0,69.48112582224842
2018-10-03,0.0039562935190450245,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-04,0.003967907185177218,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-05,0.003961635986758808,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-08,0.003970943086393953,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-09,0.003959488703160685,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-10,0.003975407801724628,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-11,0.003988402180183463,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-12,0.004002551599173716,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-15,0.0040202826296190245,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-16,0.004005934040319688,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-17,0.004000060491830727,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-18,0.004029410289284174,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-19,0.004040643323558002,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-22,0.004052806255063965,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-23,0.004047825507676127,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-24,0.004062202015096952,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-25,0.004088297658819943,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-26,0.004095750703202038,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-29,0.004083872393466197,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
2018-10-30,0.004083267694282411,USD,0.023192499999999998,-0.0008,114.53,704811.2582224841,1409622.5164449683,0.04718499999999999,69.48112582224842
